author,text,publishedAt,likeCount,replyCount
@Iblamegenetics.0,This is the closest we were to achieve world peace,2024-12-08T12:55:22Z,78977,352
@yyumass,"PSY: Created a Korean song

99.99% of listeners: *Not Korean*",2020-05-10T07:02:06Z,64256,352
@_Raecious_,Bro almost united the whole world 😭😭,2025-01-05T16:14:39Z,42315,352
@ajsjewkeelwak,"13 years later, still an epic song!!🗣️🔥",2025-10-01T16:03:08Z,12,352
@jhaber..2025,How many legends are listening to this banger! 🤘🏽,2025-03-06T22:37:21Z,11330,352
@prisha-s7l,Bro almost owned a whole generation,2025-03-16T09:15:43Z,16236,352
@divaalfirman3295,This was basically Planet Earth's theme song,2020-08-24T03:42:31Z,8274,352
@Aidindl2499_5gh,Why can't we just get over this Masterpeace!!,2025-10-01T17:09:48Z,1,352
@JohnDiara-w1v,"Book of the century - ""Night in Zagreb"" by Medvidović 
Song of the century - Gangnam Style by PSY",2025-08-17T22:36:41Z,6350,352
@Quartz5005,This guy could've said 'Vote me for president' and everyone would've voted,2020-04-17T06:42:50Z,16208,352
@drnooky3274,Who else just came back to check the views?,2015-11-09T20:07:35Z,5435,352
@dres,i have no idea why i’m listening to this right now,2025-09-24T20:33:55Z,969,352
@LuxMortis_,Just came to check the number of views. Am I lonely?,2015-09-20T09:05:35Z,1759,352
@prodigyproductions8214,Who else came back just to check the views??,2016-01-05T00:15:47Z,5142,352
@rationalrad6950,I'm looking back at 6 year old me trying to sing the lyrics thinking they were english,2020-05-12T19:12:01Z,2934,352
@ajsjewkeelwak,"""2025년 10월 👀""의 누군가 👀⁉️",2025-10-01T16:46:18Z,17,352
@auroracervantes13,i just came from watching joe suggs number clamp video,2016-06-13T20:38:25Z,313,352
@loranamay6302,So one third of the world population watched it?,2016-12-16T07:25:36Z,4768,352
@chenchiq8073,I just came here to check the views hahaha😂 I can't be the only one ?,2016-06-19T20:52:22Z,369,352
@snow-u1b,오늘은 누구든지 ❓   ANYONE HERE TODAY ❓,2025-09-26T11:27:45Z,1905,352
@Partydude1000Gaming,Who's watching 28th of August,2015-08-27T20:45:21Z,1320,132
@6ixmadedat,"never understood what the fuck he was saying, but I still danced my ass off",2017-01-29T19:00:18Z,1812,132
@kizaru667-k3t,Who is watching today??,2017-01-20T18:42:17Z,249,132
@jayashreebarman4623,Legendary song guy's ❤,2025-10-01T15:21:54Z,8,132
@BenjaminPersaud,who's watching on March 6th 2017?,2017-03-04T18:28:57Z,556,132
@chermont8,Anybody watching on the 5th of july?,2015-07-05T03:39:48Z,519,132
@Paraense_Anonimo,"Gangnam Style is so iconic and timeless. 
Good music never gets old!",2025-10-01T09:27:05Z,6,132
@dud0653,WHO IS WATCHING 16 OCTOBER,2016-10-16T06:59:47Z,138,132
@TheMaxman45,"How is there 2,382,749,384 views when there is only 0 people on earth??",2015-09-13T23:33:53Z,232,132
@bixstar1469,"our population is 7.4 billion 
this has 2.7 billion views 
so an estimated 4.7 billion do not have access to internet",2017-01-29T11:52:01Z,441,132
