entity_name,entity_type,probability
24 August,DATE,1.0
750,NUMBER,1.0
20,NUMBER,1.0
24,NUMBER,1.0
Business School,ORGANIZATION,0.5149999856948853
CUHK,ORGANIZATION,0.8980000019073486
CUHK Business School,ORGANIZATION,0.8859999775886536
Chinese University of Hong Kong,ORGANIZATION,0.8119999766349792
Inauguration Ceremony,EVENT,0.7419999837875366
beginning,OTHER,0.5350000262260437
chapter,OTHER,0.7919999957084656
class,PERSON,0.7609999775886536
community,PERSON,0.41600000858306885
event,EVENT,0.4659999907016754
family,PERSON,0.8899999856948853
growth,OTHER,0.7179999947547913
locations,LOCATION,0.8629999756813049
start,EVENT,0.4429999887943268
undergraduates,PERSON,0.8669999837875366
world,LOCATION,0.8859999775886536
